ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
344	h0	0.941	0.706	0.84	0.632	0.632	1	0.909	0.72	0.742	9.63
345	h0	1.0	0.75	0.889	0.667	0.667	1	0.909	0.75	0.769	14.35
346	h0	1.0	0.75	1.0	0.667	0.667	1	0.909	0.75	0.769	17.49
347	h0	0.588	0.824	0.63	0.947	0.947	1	1.0	0.72	0.742	10.85
348	h0	0.625	0.875	0.667	1.0	1.0	1	1.0	0.75	0.769	16.18
349	h0	0.625	0.875	0.667	1.0	1.0	1	1.0	0.75	0.769	16.18
350	h0	0.941	0.588	0.944	0.947	0.632	1	0.705	0.72	0.742	9.61
351	h0	1.0	0.625	1.0	1.0	0.667	1	0.727	0.75	0.769	14.79
352	h0	1.0	0.625	1.0	1.0	0.667	1	0.727	0.75	0.769	14.79
353	h0	0.706	0.941	0.735	0.632	0.947	1	0.705	0.72	0.742	10.61
354	h0	0.75	1.0	0.765	0.667	1.0	1	0.727	0.75	0.769	16.05
355	h0	0.632	1.0	0.667	0.667	1.0	1	0.727	0.75	0.769	11.79
392	h0	0.941	0.824	0.944	0.632	0.632	1	0.727	0.72	0.964	10.95
393	h0	1.0	0.875	1.0	0.667	0.667	1	0.727	0.75	0.923	15.07
394	h0	1.0	0.875	1.0	0.667	0.667	1	0.727	0.75	0.923	15.07
395	h0	1.0	0.875	1.0	0.667	0.737	1	0.727	0.75	0.923	16.65
396	h0	0.588	0.706	0.63	0.947	0.737	1	0.727	0.96	0.89	8.41
397	h0	0.625	0.75	0.667	1.0	0.778	1	0.727	1.0	0.923	12.55
398	h0	0.625	0.75	0.667	1.0	0.778	1	0.727	1.0	0.923	12.55
399	h0	0.625	0.75	0.667	1.0	0.713	1	0.727	1.0	0.923	11.5
400	h0	0.706	0.647	0.778	0.655	0.895	1	0.455	0.63	0.604	2.38
401	h0	1.0	1.0	1.0	0.889	1.0	1	0.727	0.75	0.769	28.66
402	h0	1.0	1.0	1.0	0.889	1.0	1	0.727	0.75	0.769	28.66
403	h0	1.0	1.0	1.0	0.889	1.0	1	0.727	0.75	0.769	28.66
404	h0	0.574	0.544	0.556	0.626	0.526	1	0.591	0.7	0.643	1.2
405	h0	0.75	0.625	0.667	0.667	0.556	1	0.727	0.833	0.769	4.98
406	h0	0.75	0.625	0.667	0.667	0.556	1	0.727	0.833	0.769	4.98
407	h0	0.75	0.625	0.667	0.667	0.556	1	0.727	0.833	0.769	4.98
408	h0	0.669	0.824	0.79	0.947	0.737	1	0.606	0.84	0.635	8.07
409	h0	0.875	1.0	0.889	1.0	0.778	1	0.727	1.0	0.769	33.83
410	h0	0.875	1.0	0.889	1.0	0.778	1	0.727	1.0	0.769	33.83
411	h0	0.875	1.0	0.889	1.0	0.778	1	0.727	1.0	0.769	33.83
412	h0	0.721	0.522	0.691	0.632	1.0	1	0.792	0.66	0.695	4.33
413	h0	0.875	0.625	0.778	0.667	1.0	1	1.0	0.75	0.846	15.23
414	h0	0.875	0.625	0.778	0.667	1.0	1	1.0	0.75	0.846	15.23
415	h0	0.875	0.625	0.778	0.667	1.0	1	1.0	0.75	0.846	15.23
416	h0	0.412	0.647	0.37	0.737	0.433	1	0.682	0.59	0.714	0.6
417	h0	0.875	1.0	0.667	1.0	0.556	1	0.818	0.75	1.0	15.31
418	h0	0.875	1.0	0.667	1.0	0.556	1	0.818	0.75	1.0	15.31
419	h0	0.875	1.0	0.667	1.0	0.556	1	0.818	0.75	1.0	15.31
420	h0	0.941	0.588	0.944	0.842	0.737	1	1.0	0.88	0.742	15.7
421	h0	1.0	0.625	1.0	0.889	0.778	1	1.0	0.917	0.769	23.44
422	h0	1.0	0.625	1.0	0.889	0.778	1	1.0	0.917	0.769	23.44
423	h0	1.0	0.625	1.0	0.889	0.778	1	1.0	0.917	0.769	23.44
424	h0	0.706	0.941	0.63	0.632	0.842	1	0.909	0.72	0.742	8.03
425	h0	0.75	1.0	0.667	0.667	0.889	1	0.909	0.75	0.769	11.96
426	h0	0.75	1.0	0.667	0.667	0.889	1	0.909	0.75	0.769	11.96
427	h0	0.75	1.0	0.667	0.667	0.889	1	0.909	0.75	0.769	11.96
448	h0	0.941	0.941	0.944	0.632	0.947	1	0.818	0.8	0.742	18.02
449	h0	1.0	1.0	1.0	0.667	1.0	1	0.818	0.833	0.769	26.88
450	h0	1.0	1.0	1.0	0.667	1.0	1	0.818	0.833	0.769	26.88
451	h0	1.0	1.0	1.0	0.667	1.0	1	0.818	0.833	0.769	26.88
452	h0	1.0	1.0	1.0	0.667	1.0	1	0.818	0.833	0.769	26.88
453	h0	0.0	0.588	0.21	0.842	0.421	1	0.25	0.28	0.214	0.0
454	h0	0.574	0.625	0.593	0.889	0.76	1	1.0	0.75	0.769	6.28
455	h0	0.75	0.625	0.667	0.889	0.778	1	1.0	0.75	0.769	9.59
456	h0	0.75	0.625	0.667	0.889	0.778	1	1.0	0.75	0.769	9.59
457	h0	0.75	0.625	0.667	0.889	0.778	1	1.0	0.75	0.769	9.59
458	h0	0.824	0.353	0.944	0.632	0.947	1	0.466	0.323	0.923	1.3
