 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    885   h1 0.666667 1.000000   0.700 0.800000       1 0.700000 1.000000 0.769231       1     0.201026
    886   h1 0.666667 1.000000   0.700 0.800000       1 0.700000 1.000000 0.769231       1     0.201026
    887   h1 0.666667 1.000000   0.700 0.800000       1 0.700000 1.000000 0.769231       1     0.201026
    888   h1 0.947368 0.947368   0.700 0.952381       1 0.600000 0.769231 0.769231       1     0.212428
    889   h1 1.000000 1.000000   0.700 1.000000       1 0.650000 0.769231 0.769231       1     0.269231
    890   h1 1.000000 1.000000   0.700 1.000000       1 0.695455 0.769231 0.769231       1     0.288058
    891   h1 1.000000 1.000000   0.700 1.000000       1 0.600000 0.769231 0.769231       1     0.248521
    892   h1 0.695906 0.631579   1.000 0.761905       1 1.000000 0.769231 0.769231       1     0.198149
    893   h1 0.777778 0.666667   1.000 0.800000       1 1.000000 0.769231 0.769231       1     0.245453
    894   h1 0.777778 0.666667   1.000 0.800000       1 1.000000 0.769231 0.769231       1     0.245453
    895   h1 0.777778 0.666667   1.000 0.900000       1 1.000000 0.555556 0.670330       1     0.173789
    916   h1 0.894737 0.631579   0.900 0.661905       1 0.800000 0.846154 0.769231       1     0.175290
    917   h1 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154 0.769231       1     0.218698
    918   h1 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154 0.769231       1     0.218698
    919   h1 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154 0.769231       1     0.218698
    920   h1 1.000000 0.666667   0.810 0.500000       1 0.800000 0.532764 0.376374       1     0.043312
    921   h1 0.298246 0.947368   0.510 0.904762       1 1.000000 0.307692 0.706044       1     0.028323
    922   h1 0.631579 1.000000   0.690 1.000000       1 1.000000 0.769231 0.769231       1     0.257864
    923   h1 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231 0.769231       1     0.276134
    924   h1 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231 0.769231       1     0.276134
    925   h1 0.666667 1.000000   0.650 0.714286       1 1.000000 0.740741 0.398352       1     0.091333
    926   h1 0.894737 0.631579   1.000 0.900000       1 1.000000 0.923077 0.620879       1     0.291481
    927   h1 1.000000 0.666667   1.000 0.900000       1 1.000000 0.923077 0.769231       1     0.426036
    928   h1 1.000000 0.666667   1.000 1.000000       1 1.000000 0.923077 0.769231       1     0.473373
    929   h1 1.000000 0.666667   1.000 1.000000       1 1.000000 0.923077 0.769231       1     0.473373
    930   h1 1.000000 0.666667   0.900 0.714286       1 1.000000 0.547009 0.500000       1     0.117216
    931   h1 0.619883 0.736842   0.800 0.700000       1 0.700000 0.769231 0.769231       1     0.105946
    932   h1 0.666667 0.777778   0.800 0.700000       1 0.700000 0.769231 0.769231       1     0.120272
    933   h1 0.666667 0.777778   0.800 0.700000       1 0.700000 0.769231 0.769231       1     0.120272
    934   h1 0.666667 0.777778   0.800 0.700000       1 0.700000 0.769231 0.769231       1     0.120272
    935   h1 0.666667 0.777778   0.720 0.500000       1 0.700000 0.455840 0.370879       1     0.022091
