 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    872   h1 0.596491 0.666667   0.700 0.700000       1       1 0.757835       1 0.778802     0.115003
    873   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231       1 0.785714     0.131624
    874   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231       1 0.785714     0.131624
    875   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231       1 0.785714     0.131624
    876   h1 0.695906 1.000000   0.700 1.000000       1       1 0.769231       1 0.760369     0.284924
    877   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.329060
    878   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.329060
    879   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.329060
    880   h1 0.894737 0.649123   1.000 0.700000       1       1 0.814815       1 0.744240     0.246543
    881   h1 1.000000 0.666667   1.000 0.700000       1       1 0.846154       1 0.785714     0.310256
    882   h1 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1 0.785714     0.282051
    883   h1 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1 0.767281     0.275434
    884   h1 0.479532 0.736842   0.625 0.647619       1       1 0.925926       1 0.702765     0.093063
    885   h1 0.666667 1.000000   0.700 0.800000       1       1 1.000000       1 0.785714     0.293333
    886   h1 0.666667 1.000000   0.700 0.800000       1       1 1.000000       1 0.785714     0.293333
    887   h1 0.666667 1.000000   0.700 0.800000       1       1 1.000000       1 0.785714     0.293333
    888   h1 0.947368 0.947368   0.700 0.952381       1       1 0.769231       1 0.785714     0.361633
    889   h1 1.000000 1.000000   0.700 1.000000       1       1 0.769231       1 0.788018     0.424318
    890   h1 1.000000 1.000000   0.700 1.000000       1       1 0.769231       1 0.788018     0.424318
    891   h1 1.000000 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.423077
    892   h1 0.695906 0.631579   1.000 0.761905       1       1 0.769231       1 0.857143     0.220795
    893   h1 0.777778 0.666667   1.000 0.800000       1       1 0.769231       1 0.857143     0.273504
    894   h1 0.777778 0.666667   1.000 0.800000       1       1 0.769231       1 0.790323     0.252183
    895   h1 0.777778 0.666667   1.000 0.900000       1       1 0.555556       1 0.714286     0.185185
    916   h1 0.894737 0.631579   0.900 0.661905       1       1 0.846154       1 0.785714     0.223808
    917   h1 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1 0.785714     0.279231
    918   h1 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1 0.785714     0.279231
    919   h1 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1 0.785714     0.279231
    920   h1 1.000000 0.666667   0.810 0.500000       1       1 0.532764       1 0.785714     0.113022
    921   h1 0.298246 0.947368   0.510 0.904762       1       1 0.307692       1 0.619816     0.024864
    922   h1 0.631579 1.000000   0.690 1.000000       1       1 0.769231       1 0.785714     0.263389
    923   h1 0.666667 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.282051
    924   h1 0.666667 1.000000   0.700 1.000000       1       1 0.769231       1 0.785714     0.282051
    925   h1 0.666667 1.000000   0.650 0.714286       1       1 0.740741       1 0.764977     0.175392
    926   h1 0.894737 0.631579   1.000 0.900000       1       1 0.923077       1 0.714286     0.335332
    927   h1 1.000000 0.666667   1.000 0.900000       1       1 0.923077       1 0.714286     0.395604
    928   h1 1.000000 0.666667   1.000 1.000000       1       1 0.923077       1 0.714286     0.439560
    929   h1 1.000000 0.666667   1.000 1.000000       1       1 0.923077       1 0.781106     0.480681
    930   h1 1.000000 0.666667   0.900 0.714286       1       1 0.547009       1 0.785714     0.184197
    931   h1 0.619883 0.736842   0.800 0.700000       1       1 0.769231       1 0.785714     0.154594
    932   h1 0.666667 0.777778   0.800 0.700000       1       1 0.769231       1 0.788018     0.176013
    933   h1 0.666667 0.777778   0.800 0.700000       1       1 0.769231       1 0.854839     0.190938
    934   h1 0.666667 0.777778   0.800 0.700000       1       1 0.769231       1 0.790323     0.176528
    935   h1 0.666667 0.777778   0.720 0.500000       1       1 0.455840       1 0.721198     0.061367
